County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Chatham County, Georgia",Georgia,7900,Americas,Americas,0.000341018,7870,23078000,23077986
"Chatham County, Georgia",Georgia,6700,Asia,Asia,0.000492095,6713,13641700,13641680
"Chatham County, Georgia",Georgia,1500,Caribbean,Caribbean,0.000334649,1451,4335900,4335884
"Chatham County, Georgia",Georgia,4500,Central America,Central America,0.000302561,4467,14764000,14763980
"Chatham County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000367731,1292,3513400,3513439
"Chatham County, Georgia",Georgia,1500,China,China,0.000552839,1534,2774800,2774768
"Chatham County, Georgia",Georgia,1300,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.000589162,1274,2162400,2162395
"Chatham County, Georgia",Georgia,1400,"China, excluding Taiwan","China, excl. Taiwan",0.000583205,1396,2393700,2393670
"Chatham County, Georgia",Georgia,2300,Eastern Asia,Eastern Asia,0.000559120,2337,4179800,4179779
"Chatham County, Georgia",Georgia,2600,Europe,Europe,0.000543049,2587,4763800,4763845
"Chatham County, Georgia",Georgia,1600,India,India,0.000623364,1597,2561900,2561906
"Chatham County, Georgia",Georgia,7400,Latin America,Latin America,0.000332500,7402,22261600,22261633
"Chatham County, Georgia",Georgia,3200,Mexico,Mexico,0.000282209,3175,11250500,11250541
"Chatham County, Georgia",Georgia,1500,South America,South America,0.000469358,1484,3161800,3161769
"Chatham County, Georgia",Georgia,1700,South Central Asia,South Central Asia,0.000434794,1748,4020300,4020291
"Chatham County, Georgia",Georgia,2300,South Eastern Asia,South Eastern Asia,0.000532254,2270,4264900,4264879
"Chatham County, Georgia",Georgia,18300,(All countries),all countries,0.000416233,18319,44011400,44011407
"Chatham County, Georgia",Georgia,1300,Vietnam,Vietnam,0.001005993,1345,1337000,1336988
