County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Clarke County, Georgia",Georgia,7000,Americas,Americas,0.000304143,7019,23078000,23077986
"Clarke County, Georgia",Georgia,3600,Asia,Asia,0.000266463,3635,13641700,13641680
"Clarke County, Georgia",Georgia,5000,Central America,Central America,0.000339678,5015,14764000,14763980
"Clarke County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000368300,1294,3513400,3513439
"Clarke County, Georgia",Georgia,1700,Eastern Asia,Eastern Asia,0.000398346,1665,4179800,4179779
"Clarke County, Georgia",Georgia,1100,Europe,Europe,0.000225868,1076,4763800,4763845
"Clarke County, Georgia",Georgia,6800,Latin America,Latin America,0.000304335,6775,22261600,22261633
"Clarke County, Georgia",Georgia,3700,Mexico,Mexico,0.000330740,3721,11250500,11250541
"Clarke County, Georgia",Georgia,1200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000414117,1247,3011200,3011229
"Clarke County, Georgia",Georgia,1200,South America,South America,0.000383646,1213,3161800,3161769
"Clarke County, Georgia",Georgia,12600,(All countries),all countries,0.000287380,12648,44011400,44011407
