County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Clayton County, Georgia",Georgia,5500,Africa,Africa,0.002456271,5543,2256700,2256673
"Clayton County, Georgia",Georgia,21500,Americas,Americas,0.000933314,21539,23078000,23077986
"Clayton County, Georgia",Georgia,10800,Asia,Asia,0.000791252,10794,13641700,13641680
"Clayton County, Georgia",Georgia,5400,Caribbean,Caribbean,0.001247727,5410,4335900,4335884
"Clayton County, Georgia",Georgia,15000,Central America,Central America,0.001018763,15041,14764000,14763980
"Clayton County, Georgia",Georgia,2800,"Central America, excluding Mexico","Central America, excl. Mexico",0.000796371,2798,3513400,3513439
"Clayton County, Georgia",Georgia,1100,Eastern Asia,Eastern Asia,0.000252166,1054,4179800,4179779
"Clayton County, Georgia",Georgia,1100,El Salvador,El Salvador,0.000808829,1117,1381000,1381008
"Clayton County, Georgia",Georgia,2600,Jamaica,Jamaica,0.003479969,2580,741400,741386
"Clayton County, Georgia",Georgia,21500,Latin America,Latin America,0.000964350,21468,22261600,22261633
"Clayton County, Georgia",Georgia,12200,Mexico,Mexico,0.001088214,12243,11250500,11250541
"Clayton County, Georgia",Georgia,2200,Nigeria,Nigeria,0.006257994,2192,350300,350272
"Clayton County, Georgia",Georgia,2200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000731595,2203,3011200,3011229
"Clayton County, Georgia",Georgia,1000,South America,South America,0.000321655,1017,3161800,3161769
"Clayton County, Georgia",Georgia,8900,South Eastern Asia,South Eastern Asia,0.002089157,8910,4264900,4264879
"Clayton County, Georgia",Georgia,5400,Sub-Saharan Africa,Sub-Saharan Africa,0.002859256,5415,1893800,1893849
"Clayton County, Georgia",Georgia,38300,(All countries),all countries,0.000869411,38264,44011400,44011407
"Clayton County, Georgia",Georgia,6900,Vietnam,Vietnam,0.005134676,6865,1337000,1336988
"Clayton County, Georgia",Georgia,4300,Western Africa,Western Africa,0.005155498,4331,840100,840074
