County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Columbia County, Georgia",Georgia,3100,Americas,Americas,0.000134370,3101,23078000,23077986
"Columbia County, Georgia",Georgia,4800,Asia,Asia,0.000353989,4829,13641700,13641680
"Columbia County, Georgia",Georgia,1600,Central America,Central America,0.000108711,1605,14764000,14763980
"Columbia County, Georgia",Georgia,1900,Eastern Asia,Eastern Asia,0.000447153,1869,4179800,4179779
"Columbia County, Georgia",Georgia,1900,Europe,Europe,0.000397998,1896,4763800,4763845
"Columbia County, Georgia",Georgia,1100,India,India,0.000447714,1147,2561900,2561906
"Columbia County, Georgia",Georgia,1100,Korea,Korea,0.001011838,1057,1044600,1044634
"Columbia County, Georgia",Georgia,2800,Latin America,Latin America,0.000125462,2793,22261600,22261633
"Columbia County, Georgia",Georgia,1200,Mexico,Mexico,0.000104439,1175,11250500,11250541
"Columbia County, Georgia",Georgia,1600,South Central Asia,South Central Asia,0.000394996,1588,4020300,4020291
"Columbia County, Georgia",Georgia,1100,South Eastern Asia,South Eastern Asia,0.000267299,1140,4264900,4264879
"Columbia County, Georgia",Georgia,10600,(All countries),all countries,0.000241506,10629,44011400,44011407
