County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Fayette County, Georgia",Georgia,4600,Americas,Americas,0.000199801,4611,23078000,23077986
"Fayette County, Georgia",Georgia,4000,Asia,Asia,0.000294978,4024,13641700,13641680
"Fayette County, Georgia",Georgia,1200,Caribbean,Caribbean,0.000284371,1233,4335900,4335884
"Fayette County, Georgia",Georgia,1800,Central America,Central America,0.000124424,1837,14764000,14763980
"Fayette County, Georgia",Georgia,1400,Eastern Asia,Eastern Asia,0.000338056,1413,4179800,4179779
"Fayette County, Georgia",Georgia,1900,Europe,Europe,0.000392960,1872,4763800,4763845
"Fayette County, Georgia",Georgia,1100,India,India,0.000418829,1073,2561900,2561906
"Fayette County, Georgia",Georgia,3900,Latin America,Latin America,0.000176133,3921,22261600,22261633
"Fayette County, Georgia",Georgia,1300,Mexico,Mexico,0.000117417,1321,11250500,11250541
"Fayette County, Georgia",Georgia,1600,South Central Asia,South Central Asia,0.000389524,1566,4020300,4020291
"Fayette County, Georgia",Georgia,11400,(All countries),all countries,0.000259524,11422,44011400,44011407
