County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Gwinnett County, Georgia",Georgia,1100,Afghanistan,Afghanistan,0.010418718,1058,101500,101548
"Gwinnett County, Georgia",Georgia,26800,Africa,Africa,0.011864368,26774,2256700,2256673
"Gwinnett County, Georgia",Georgia,113000,Americas,Americas,0.004896788,113008,23078000,23077986
"Gwinnett County, Georgia",Georgia,79500,Asia,Asia,0.005824649,79458,13641700,13641680
"Gwinnett County, Georgia",Georgia,3300,Bangladesh,Bangladesh,0.013898722,3298,237300,237288
"Gwinnett County, Georgia",Georgia,2100,Bosnia and Herzegovina,Bosnia and Herzegovina,0.020502607,2131,103900,103938
"Gwinnett County, Georgia",Georgia,2200,Canada,Canada,0.002764153,2235,808600,808566
"Gwinnett County, Georgia",Georgia,22600,Caribbean,Caribbean,0.005201016,22551,4335900,4335884
"Gwinnett County, Georgia",Georgia,67300,Central America,Central America,0.004558866,67307,14764000,14763980
"Gwinnett County, Georgia",Georgia,25400,"Central America, excluding Mexico","Central America, excl. Mexico",0.007225115,25385,3513400,3513439
"Gwinnett County, Georgia",Georgia,9100,China,China,0.003275589,9089,2774800,2774768
"Gwinnett County, Georgia",Georgia,7200,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.003313918,7166,2162400,2162395
"Gwinnett County, Georgia",Georgia,7700,"China, excluding Taiwan","China, excl. Taiwan",0.003224338,7718,2393700,2393670
"Gwinnett County, Georgia",Georgia,9000,Colombia,Colombia,0.011832555,9009,761400,761374
"Gwinnett County, Georgia",Georgia,3000,Cuba,Cuba,0.002352166,3034,1289900,1289875
"Gwinnett County, Georgia",Georgia,5700,Dominican Republic,Dominican Republic,0.005094142,5696,1118100,1118147
"Gwinnett County, Georgia",Georgia,7900,Eastern Africa,Eastern Africa,0.011726465,7944,677400,677442
"Gwinnett County, Georgia",Georgia,28300,Eastern Asia,Eastern Asia,0.006781938,28347,4179800,4179779
"Gwinnett County, Georgia",Georgia,10700,Eastern Europe,Eastern Europe,0.005066690,10674,2106700,2106701
"Gwinnett County, Georgia",Georgia,9700,El Salvador,El Salvador,0.007040510,9723,1381000,1381008
"Gwinnett County, Georgia",Georgia,4400,Ethiopia,Ethiopia,0.017723810,4427,249800,249777
"Gwinnett County, Georgia",Georgia,16300,Europe,Europe,0.003425594,16319,4763800,4763845
"Gwinnett County, Georgia",Georgia,1400,Germany,Germany,0.002519773,1412,560400,560368
"Gwinnett County, Georgia",Georgia,4100,Ghana,Ghana,0.023202233,4139,178400,178388
"Gwinnett County, Georgia",Georgia,7500,Guatemala,Guatemala,0.007676453,7516,979100,979098
"Gwinnett County, Georgia",Georgia,2300,Guyana,Guyana,0.008310832,2253,271100,271092
"Gwinnett County, Georgia",Georgia,2900,Haiti,Haiti,0.004260728,2866,672700,672655
"Gwinnett County, Georgia",Georgia,6300,Honduras,Honduras,0.009704772,6319,651100,651123
"Gwinnett County, Georgia",Georgia,14600,India,India,0.005692637,14584,2561900,2561906
"Gwinnett County, Georgia",Georgia,1100,Iraq,Iraq,0.004710316,1060,225000,225038
"Gwinnett County, Georgia",Georgia,7500,Jamaica,Jamaica,0.010131025,7511,741400,741386
"Gwinnett County, Georgia",Georgia,1300,Japan,Japan,0.003726024,1286,345100,345140
