County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Hall County, Georgia",Georgia,27700,Americas,Americas,0.001202401,27749,23078000,23077986
"Hall County, Georgia",Georgia,2700,Asia,Asia,0.000196383,2679,13641700,13641680
"Hall County, Georgia",Georgia,1100,Caribbean,Caribbean,0.000243318,1055,4335900,4335884
"Hall County, Georgia",Georgia,25000,Central America,Central America,0.001693107,24997,14764000,14763980
"Hall County, Georgia",Georgia,5400,"Central America, excluding Mexico","Central America, excl. Mexico",0.001534109,5390,3513400,3513439
"Hall County, Georgia",Georgia,2300,El Salvador,El Salvador,0.001692242,2337,1381000,1381008
"Hall County, Georgia",Georgia,1200,Europe,Europe,0.000247069,1177,4763800,4763845
"Hall County, Georgia",Georgia,1500,Guatemala,Guatemala,0.001511595,1480,979100,979098
"Hall County, Georgia",Georgia,1400,Honduras,Honduras,0.002093306,1363,651100,651123
"Hall County, Georgia",Georgia,27300,Latin America,Latin America,0.001228481,27348,22261600,22261633
"Hall County, Georgia",Georgia,19600,Mexico,Mexico,0.001742761,19607,11250500,11250541
"Hall County, Georgia",Georgia,5200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.001720228,5180,3011200,3011229
"Hall County, Georgia",Georgia,1300,South America,South America,0.000409897,1296,3161800,3161769
"Hall County, Georgia",Georgia,1300,South Eastern Asia,South Eastern Asia,0.000302470,1290,4264900,4264879
"Hall County, Georgia",Georgia,32400,(All countries),all countries,0.000736241,32403,44011400,44011407
"Hall County, Georgia",Georgia,1000,Vietnam,Vietnam,0.000752438,1006,1337000,1336988
