County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Cherokee County, Georgia",Georgia,1100,Africa,Africa,0.000476808,1076,2256700,2256673
"Cherokee County, Georgia",Georgia,14000,Americas,Americas,0.000606725,14002,23078000,23077986
"Cherokee County, Georgia",Georgia,4000,Asia,Asia,0.000291753,3980,13641700,13641680
"Cherokee County, Georgia",Georgia,1900,Caribbean,Caribbean,0.000446737,1937,4335900,4335884
"Cherokee County, Georgia",Georgia,8700,Central America,Central America,0.000587917,8680,14764000,14763980
"Cherokee County, Georgia",Georgia,3200,"Central America, excluding Mexico","Central America, excl. Mexico",0.000909935,3197,3513400,3513439
"Cherokee County, Georgia",Georgia,1200,Colombia,Colombia,0.001568217,1194,761400,761374
"Cherokee County, Georgia",Georgia,1100,Eastern Europe,Eastern Europe,0.000501732,1057,2106700,2106701
"Cherokee County, Georgia",Georgia,2700,Europe,Europe,0.000565929,2696,4763800,4763845
"Cherokee County, Georgia",Georgia,2300,Guatemala,Guatemala,0.002356250,2307,979100,979098
"Cherokee County, Georgia",Georgia,13300,Latin America,Latin America,0.000596497,13279,22261600,22261633
"Cherokee County, Georgia",Georgia,5500,Mexico,Mexico,0.000487354,5483,11250500,11250541
"Cherokee County, Georgia",Georgia,2900,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000975349,2937,3011200,3011229
"Cherokee County, Georgia",Georgia,2700,South America,South America,0.000841934,2662,3161800,3161769
"Cherokee County, Georgia",Georgia,1100,South Central Asia,South Central Asia,0.000273861,1101,4020300,4020291
"Cherokee County, Georgia",Georgia,1300,South Eastern Asia,South Eastern Asia,0.000316070,1348,4264900,4264879
"Cherokee County, Georgia",Georgia,21800,(All countries),all countries,0.000496439,21849,44011400,44011407
