County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Cobb County, Georgia",Georgia,14300,Africa,Africa,0.006329672,14284,2256700,2256673
"Cobb County, Georgia",Georgia,61300,Americas,Americas,0.002657251,61324,23078000,23077986
"Cobb County, Georgia",Georgia,31200,Asia,Asia,0.002289381,31231,13641700,13641680
"Cobb County, Georgia",Georgia,4600,Brazil,Brazil,0.010681025,4630,433500,433479
"Cobb County, Georgia",Georgia,2200,Canada,Canada,0.002745601,2220,808600,808566
"Cobb County, Georgia",Georgia,10100,Caribbean,Caribbean,0.002340238,10147,4335900,4335884
"Cobb County, Georgia",Georgia,38500,Central America,Central America,0.002607292,38494,14764000,14763980
"Cobb County, Georgia",Georgia,11000,"Central America, excluding Mexico","Central America, excl. Mexico",0.003117174,10952,3513400,3513439
"Cobb County, Georgia",Georgia,4100,China,China,0.001490215,4135,2774800,2774768
"Cobb County, Georgia",Georgia,3200,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.001472904,3185,2162400,2162395
"Cobb County, Georgia",Georgia,3400,"China, excluding Taiwan","China, excl. Taiwan",0.001417071,3392,2393700,2393670
"Cobb County, Georgia",Georgia,1700,Colombia,Colombia,0.002269581,1728,761400,761374
"Cobb County, Georgia",Georgia,1100,Dominican Republic,Dominican Republic,0.001005235,1124,1118100,1118147
"Cobb County, Georgia",Georgia,3600,Eastern Africa,Eastern Africa,0.005327393,3609,677400,677442
"Cobb County, Georgia",Georgia,8100,Eastern Asia,Eastern Asia,0.001926896,8054,4179800,4179779
"Cobb County, Georgia",Georgia,4100,Eastern Europe,Eastern Europe,0.001964208,4138,2106700,2106701
"Cobb County, Georgia",Georgia,3300,El Salvador,El Salvador,0.002359146,3258,1381000,1381008
"Cobb County, Georgia",Georgia,10800,Europe,Europe,0.002259309,10763,4763800,4763845
"Cobb County, Georgia",Georgia,1300,Germany,Germany,0.002401993,1346,560400,560368
"Cobb County, Georgia",Georgia,1100,Ghana,Ghana,0.006250420,1115,178400,178388
"Cobb County, Georgia",Georgia,3700,Guatemala,Guatemala,0.003744263,3666,979100,979098
"Cobb County, Georgia",Georgia,2300,Haiti,Haiti,0.003468346,2333,672700,672655
"Cobb County, Georgia",Georgia,2800,Honduras,Honduras,0.004364767,2842,651100,651123
"Cobb County, Georgia",Georgia,11600,India,India,0.004528269,11601,2561900,2561906
"Cobb County, Georgia",Georgia,1500,Iran,Iran,0.003895255,1489,382300,382260
"Cobb County, Georgia",Georgia,3900,Jamaica,Jamaica,0.005213209,3865,741400,741386
"Cobb County, Georgia",Georgia,2000,Kenya,Kenya,0.014391433,2040,141800,141751
"Cobb County, Georgia",Georgia,3000,Korea,Korea,0.002866076,2994,1044600,1044634
"Cobb County, Georgia",Georgia,59100,Latin America,Latin America,0.002653444,59070,22261600,22261633
"Cobb County, Georgia",Georgia,1900,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.001631965,1874,1148300,1148309
"Cobb County, Georgia",Georgia,27500,Mexico,Mexico,0.002448060,27542,11250500,11250541
"Cobb County, Georgia",Georgia,1100,Middle Africa,Middle Africa,0.007040010,1083,153800,153835
"Cobb County, Georgia",Georgia,5200,Nigeria,Nigeria,0.014791362,5181,350300,350272
"Cobb County, Georgia",Georgia,2300,Northern America,Northern America,0.002761060,2254,816400,816353
"Cobb County, Georgia",Georgia,3100,Northern Europe,Northern Europe,0.003232336,3055,945100,945137
"Cobb County, Georgia",Georgia,9800,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.003243194,9766,3011200,3011229
"Cobb County, Georgia",Georgia,1200,Pakistan,Pakistan,0.003318028,1248,376100,376127
"Cobb County, Georgia",Georgia,1300,Philippines,the Philippines,0.000649214,1288,1983900,1983939
"Cobb County, Georgia",Georgia,1000,Russia,Russia,0.002658047,1041,391600,391641
"Cobb County, Georgia",Georgia,10400,South America,South America,0.003298470,10429,3161800,3161769
"Cobb County, Georgia",Georgia,15500,South Central Asia,South Central Asia,0.003860417,15520,4020300,4020291
"Cobb County, Georgia",Georgia,5500,South Eastern Asia,South Eastern Asia,0.001291010,5506,4264900,4264879
"Cobb County, Georgia",Georgia,13800,Sub-Saharan Africa,Sub-Saharan Africa,0.007268795,13766,1893800,1893849
"Cobb County, Georgia",Georgia,117800,(All countries),all countries,0.002676670,117804,44011400,44011407
"Cobb County, Georgia",Georgia,2500,United Kingdom,the United Kingdom,0.003525562,2463,698600,698612
"Cobb County, Georgia",Georgia,1100,Venezuela,Venezuela,0.003173968,1110,349700,349720
"Cobb County, Georgia",Georgia,2700,Vietnam,Vietnam,0.002044147,2733,1337000,1336988
"Cobb County, Georgia",Georgia,8000,Western Africa,Western Africa,0.009490831,7973,840100,840074
"Cobb County, Georgia",Georgia,2100,Western Asia,Western Asia,0.001837953,2072,1127300,1127341
"Cobb County, Georgia",Georgia,2700,Western Europe,Western Europe,0.002898361,2741,945700,945707
