County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Douglas County, Georgia",Georgia,2400,Africa,Africa,0.001046230,2361,2256700,2256673
"Douglas County, Georgia",Georgia,8300,Americas,Americas,0.000357527,8251,23078000,23077986
"Douglas County, Georgia",Georgia,1400,Asia,Asia,0.000105705,1442,13641700,13641680
"Douglas County, Georgia",Georgia,2700,Caribbean,Caribbean,0.000617636,2678,4335900,4335884
"Douglas County, Georgia",Georgia,4800,Central America,Central America,0.000328367,4848,14764000,14763980
"Douglas County, Georgia",Georgia,1000,"Central America, excluding Mexico","Central America, excl. Mexico",0.000288037,1012,3513400,3513439
"Douglas County, Georgia",Georgia,1200,Ghana,Ghana,0.006597977,1177,178400,178388
"Douglas County, Georgia",Georgia,8200,Latin America,Latin America,0.000367898,8190,22261600,22261633
"Douglas County, Georgia",Georgia,3800,Mexico,Mexico,0.000340961,3836,11250500,11250541
"Douglas County, Georgia",Georgia,2300,Sub-Saharan Africa,Sub-Saharan Africa,0.001198089,2269,1893800,1893849
"Douglas County, Georgia",Georgia,12700,(All countries),all countries,0.000288562,12700,44011400,44011407
"Douglas County, Georgia",Georgia,1900,Western Africa,Western Africa,0.002241469,1883,840100,840074
