County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Forsyth County, Georgia",Georgia,1600,Africa,Africa,0.000728063,1643,2256700,2256673
"Forsyth County, Georgia",Georgia,12000,Americas,Americas,0.000520929,12022,23078000,23077986
"Forsyth County, Georgia",Georgia,21700,Asia,Asia,0.001589540,21684,13641700,13641680
"Forsyth County, Georgia",Georgia,7400,Central America,Central America,0.000501965,7411,14764000,14763980
"Forsyth County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000356915,1254,3513400,3513439
"Forsyth County, Georgia",Georgia,2600,China,China,0.000926204,2570,2774800,2774768
"Forsyth County, Georgia",Georgia,2100,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.000948023,2050,2162400,2162395
"Forsyth County, Georgia",Georgia,2100,"China, excluding Taiwan","China, excl. Taiwan",0.000889847,2130,2393700,2393670
"Forsyth County, Georgia",Georgia,4400,Eastern Asia,Eastern Asia,0.001041203,4352,4179800,4179779
"Forsyth County, Georgia",Georgia,2000,Eastern Europe,Eastern Europe,0.000953149,2008,2106700,2106701
"Forsyth County, Georgia",Georgia,4500,Europe,Europe,0.000941676,4486,4763800,4763845
"Forsyth County, Georgia",Georgia,13400,India,India,0.005244533,13436,2561900,2561906
"Forsyth County, Georgia",Georgia,1600,Korea,Korea,0.001542167,1611,1044600,1044634
"Forsyth County, Georgia",Georgia,11300,Latin America,Latin America,0.000506522,11276,22261600,22261633
"Forsyth County, Georgia",Georgia,6200,Mexico,Mexico,0.000547263,6157,11250500,11250541
"Forsyth County, Georgia",Georgia,1200,Northern Europe,Northern Europe,0.001234742,1167,945100,945137
"Forsyth County, Georgia",Georgia,1000,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000332422,1001,3011200,3011229
"Forsyth County, Georgia",Georgia,3100,South America,South America,0.000974454,3081,3161800,3161769
"Forsyth County, Georgia",Georgia,14800,South Central Asia,South Central Asia,0.003685057,14815,4020300,4020291
"Forsyth County, Georgia",Georgia,1700,South Eastern Asia,South Eastern Asia,0.000396963,1693,4264900,4264879
"Forsyth County, Georgia",Georgia,1400,Sub-Saharan Africa,Sub-Saharan Africa,0.000715474,1355,1893800,1893849
"Forsyth County, Georgia",Georgia,40000,(All countries),all countries,0.000908083,39966,44011400,44011407
"Forsyth County, Georgia",Georgia,1100,Western Europe,Western Europe,0.001111338,1051,945700,945707
