County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Fulton County, Georgia",Georgia,12800,Africa,Africa,0.005661432,12776,2256700,2256673
"Fulton County, Georgia",Georgia,45400,Americas,Americas,0.001966939,45393,23078000,23077986
"Fulton County, Georgia",Georgia,60400,Asia,Asia,0.004428340,60410,13641700,13641680
"Fulton County, Georgia",Georgia,3200,Brazil,Brazil,0.007428272,3220,433500,433479
"Fulton County, Georgia",Georgia,3400,Canada,Canada,0.004196318,3393,808600,808566
"Fulton County, Georgia",Georgia,9200,Caribbean,Caribbean,0.002118138,9184,4335900,4335884
"Fulton County, Georgia",Georgia,22000,Central America,Central America,0.001489707,21994,14764000,14763980
"Fulton County, Georgia",Georgia,2900,"Central America, excluding Mexico","Central America, excl. Mexico",0.000837356,2942,3513400,3513439
"Fulton County, Georgia",Georgia,10100,China,China,0.003629132,10070,2774800,2774768
"Fulton County, Georgia",Georgia,8300,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.003829088,8280,2162400,2162395
"Fulton County, Georgia",Georgia,8800,"China, excluding Taiwan","China, excl. Taiwan",0.003658817,8758,2393700,2393670
"Fulton County, Georgia",Georgia,2300,Colombia,Colombia,0.003032675,2309,761400,761374
"Fulton County, Georgia",Georgia,1300,Cuba,Cuba,0.000993119,1281,1289900,1289875
"Fulton County, Georgia",Georgia,3400,Eastern Africa,Eastern Africa,0.004967215,3365,677400,677442
"Fulton County, Georgia",Georgia,16500,Eastern Asia,Eastern Asia,0.003958104,16544,4179800,4179779
"Fulton County, Georgia",Georgia,6300,Eastern Europe,Eastern Europe,0.003010394,6342,2106700,2106701
"Fulton County, Georgia",Georgia,16100,Europe,Europe,0.003371436,16061,4763800,4763845
"Fulton County, Georgia",Georgia,1100,France,France,0.005838483,1060,181600,181554
"Fulton County, Georgia",Georgia,2000,Germany,Germany,0.003554807,1992,560400,560368
"Fulton County, Georgia",Georgia,1400,Ghana,Ghana,0.007758369,1384,178400,178388
"Fulton County, Georgia",Georgia,1200,Haiti,Haiti,0.001736403,1168,672700,672655
"Fulton County, Georgia",Georgia,27100,India,India,0.010581184,27108,2561900,2561906
"Fulton County, Georgia",Georgia,2000,Iran,Iran,0.005271281,2015,382300,382260
"Fulton County, Georgia",Georgia,1500,Iraq,Iraq,0.006714422,1511,225000,225038
"Fulton County, Georgia",Georgia,1500,Israel,Israel,0.010694911,1451,135700,135672
"Fulton County, Georgia",Georgia,4100,Jamaica,Jamaica,0.005513997,4088,741400,741386
"Fulton County, Georgia",Georgia,1100,Japan,Japan,0.003218984,1111,345100,345140
"Fulton County, Georgia",Georgia,5400,Korea,Korea,0.005133855,5363,1044600,1044634
"Fulton County, Georgia",Georgia,41900,Latin America,Latin America,0.001880320,41859,22261600,22261633
"Fulton County, Georgia",Georgia,5000,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.004388192,5039,1148300,1148309
"Fulton County, Georgia",Georgia,19100,Mexico,Mexico,0.001693430,19052,11250500,11250541
"Fulton County, Georgia",Georgia,2600,Nigeria,Nigeria,0.007474191,2618,350300,350272
"Fulton County, Georgia",Georgia,1400,Northern Africa,Northern Africa,0.003963354,1438,362800,362824
"Fulton County, Georgia",Georgia,3500,Northern America,Northern America,0.004329010,3534,816400,816353
"Fulton County, Georgia",Georgia,4500,Northern Europe,Northern Europe,0.004769679,4508,945100,945137
"Fulton County, Georgia",Georgia,2000,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000666173,2006,3011200,3011229
"Fulton County, Georgia",Georgia,1000,Pakistan,Pakistan,0.002701215,1016,376100,376127
"Fulton County, Georgia",Georgia,1900,Philippines,the Philippines,0.000967268,1919,1983900,1983939
"Fulton County, Georgia",Georgia,2300,Russia,Russia,0.005768038,2259,391600,391641
"Fulton County, Georgia",Georgia,1300,South Africa,South Africa,0.012929957,1345,104000,104022
"Fulton County, Georgia",Georgia,10700,South America,South America,0.003378172,10681,3161800,3161769
"Fulton County, Georgia",Georgia,32200,South Central Asia,South Central Asia,0.008008624,32197,4020300,4020291
"Fulton County, Georgia",Georgia,5900,South Eastern Asia,South Eastern Asia,0.001394178,5946,4264900,4264879
"Fulton County, Georgia",Georgia,1300,Southern Africa,Southern Africa,0.012385583,1345,108600,108594
"Fulton County, Georgia",Georgia,1300,Southern Europe,Southern Europe,0.001712474,1293,755000,755048
"Fulton County, Georgia",Georgia,11300,Sub-Saharan Africa,Sub-Saharan Africa,0.005986750,11338,1893800,1893849
"Fulton County, Georgia",Georgia,1300,Taiwan,Taiwan,0.003442684,1312,381100,381098
"Fulton County, Georgia",Georgia,135500,(All countries),all countries,0.003079452,135531,44011400,44011407
"Fulton County, Georgia",Georgia,3400,United Kingdom,the United Kingdom,0.004893990,3419,698600,698612
"Fulton County, Georgia",Georgia,2000,Venezuela,Venezuela,0.005798925,2028,349700,349720
"Fulton County, Georgia",Georgia,1700,Vietnam,Vietnam,0.001302181,1741,1337000,1336988
"Fulton County, Georgia",Georgia,5500,Western Africa,Western Africa,0.006492285,5454,840100,840074
"Fulton County, Georgia",Georgia,5600,Western Asia,Western Asia,0.004955022,5586,1127300,1127341
"Fulton County, Georgia",Georgia,3900,Western Europe,Western Europe,0.004123899,3900,945700,945707
