County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Henry County, Georgia",Georgia,1900,Africa,Africa,0.000857457,1935,2256700,2256673
"Henry County, Georgia",Georgia,9600,Americas,Americas,0.000414681,9570,23078000,23077986
"Henry County, Georgia",Georgia,4700,Asia,Asia,0.000346072,4721,13641700,13641680
"Henry County, Georgia",Georgia,4200,Caribbean,Caribbean,0.000979270,4246,4335900,4335884
"Henry County, Georgia",Georgia,3500,Central America,Central America,0.000236318,3489,14764000,14763980
"Henry County, Georgia",Georgia,1300,Europe,Europe,0.000272469,1298,4763800,4763845
"Henry County, Georgia",Georgia,1600,India,India,0.000623364,1597,2561900,2561906
"Henry County, Georgia",Georgia,1900,Jamaica,Jamaica,0.002542535,1885,741400,741386
"Henry County, Georgia",Georgia,8900,Latin America,Latin America,0.000401902,8947,22261600,22261633
"Henry County, Georgia",Georgia,2500,Mexico,Mexico,0.000224078,2521,11250500,11250541
"Henry County, Georgia",Georgia,1200,South America,South America,0.000383330,1212,3161800,3161769
"Henry County, Georgia",Georgia,2100,South Central Asia,South Central Asia,0.000524091,2107,4020300,4020291
"Henry County, Georgia",Georgia,1800,South Eastern Asia,South Eastern Asia,0.000427445,1823,4264900,4264879
"Henry County, Georgia",Georgia,1900,Sub-Saharan Africa,Sub-Saharan Africa,0.000999552,1893,1893800,1893849
"Henry County, Georgia",Georgia,17900,(All countries),all countries,0.000406372,17885,44011400,44011407
"Henry County, Georgia",Georgia,1100,Vietnam,Vietnam,0.000847427,1133,1337000,1336988
"Henry County, Georgia",Georgia,1400,Western Africa,Western Africa,0.001684375,1415,840100,840074
