,County,State,ImmCountRounded,Origin,OriginTooltip,CountyPercentbyOrigin,ImmCount,TotalImmPopRounded,TotalImm
0,"Chatham County, Georgia",Georgia,7900,Americas,Americas,0.000341018,7870,23078000,23077986
1,"Chatham County, Georgia",Georgia,6700,Asia,Asia,0.000492095,6713,13641700,13641680
2,"Chatham County, Georgia",Georgia,1500,Caribbean,Caribbean,0.000334649,1451,4335900,4335884
3,"Chatham County, Georgia",Georgia,4500,Central America,Central America,0.00030256099999999996,4467,14764000,14763980
4,"Chatham County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000367731,1292,3513400,3513439
5,"Chatham County, Georgia",Georgia,1500,China,China,0.0005528390000000001,1534,2774800,2774768
6,"Chatham County, Georgia",Georgia,1300,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.000589162,1274,2162400,2162395
7,"Chatham County, Georgia",Georgia,1400,"China, excluding Taiwan","China, excl. Taiwan",0.000583205,1396,2393700,2393670
8,"Chatham County, Georgia",Georgia,2300,Eastern Asia,Eastern Asia,0.00055912,2337,4179800,4179779
9,"Chatham County, Georgia",Georgia,2600,Europe,Europe,0.000543049,2587,4763800,4763845
10,"Chatham County, Georgia",Georgia,1600,India,India,0.0006233640000000001,1597,2561900,2561906
11,"Chatham County, Georgia",Georgia,7400,Latin America,Latin America,0.0003325,7402,22261600,22261633
12,"Chatham County, Georgia",Georgia,3200,Mexico,Mexico,0.000282209,3175,11250500,11250541
13,"Chatham County, Georgia",Georgia,1500,South America,South America,0.000469358,1484,3161800,3161769
14,"Chatham County, Georgia",Georgia,1700,South Central Asia,South Central Asia,0.000434794,1748,4020300,4020291
15,"Chatham County, Georgia",Georgia,2300,South Eastern Asia,South Eastern Asia,0.000532254,2270,4264900,4264879
16,"Chatham County, Georgia",Georgia,18300,(All countries),all countries,0.000416233,18319,44011400,44011407
17,"Chatham County, Georgia",Georgia,1300,Vietnam,Vietnam,0.001005993,1345,1337000,1336988
0,"Cherokee County, Georgia",Georgia,1100,Africa,Africa,0.000476808,1076,2256700,2256673
1,"Cherokee County, Georgia",Georgia,14000,Americas,Americas,0.000606725,14002,23078000,23077986
2,"Cherokee County, Georgia",Georgia,4000,Asia,Asia,0.000291753,3980,13641700,13641680
3,"Cherokee County, Georgia",Georgia,1900,Caribbean,Caribbean,0.00044673699999999995,1937,4335900,4335884
4,"Cherokee County, Georgia",Georgia,8700,Central America,Central America,0.000587917,8680,14764000,14763980
5,"Cherokee County, Georgia",Georgia,3200,"Central America, excluding Mexico","Central America, excl. Mexico",0.000909935,3197,3513400,3513439
6,"Cherokee County, Georgia",Georgia,1200,Colombia,Colombia,0.0015682170000000002,1194,761400,761374
7,"Cherokee County, Georgia",Georgia,1100,Eastern Europe,Eastern Europe,0.000501732,1057,2106700,2106701
8,"Cherokee County, Georgia",Georgia,2700,Europe,Europe,0.0005659290000000001,2696,4763800,4763845
9,"Cherokee County, Georgia",Georgia,2300,Guatemala,Guatemala,0.00235625,2307,979100,979098
10,"Cherokee County, Georgia",Georgia,13300,Latin America,Latin America,0.000596497,13279,22261600,22261633
11,"Cherokee County, Georgia",Georgia,5500,Mexico,Mexico,0.000487354,5483,11250500,11250541
12,"Cherokee County, Georgia",Georgia,2900,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.0009753489999999999,2937,3011200,3011229
13,"Cherokee County, Georgia",Georgia,2700,South America,South America,0.0008419339999999999,2662,3161800,3161769
14,"Cherokee County, Georgia",Georgia,1100,South Central Asia,South Central Asia,0.00027386099999999997,1101,4020300,4020291
15,"Cherokee County, Georgia",Georgia,1300,South Eastern Asia,South Eastern Asia,0.00031607,1348,4264900,4264879
16,"Cherokee County, Georgia",Georgia,21800,(All countries),all countries,0.000496439,21849,44011400,44011407
0,"Clarke County, Georgia",Georgia,7000,Americas,Americas,0.000304143,7019,23078000,23077986
1,"Clarke County, Georgia",Georgia,3600,Asia,Asia,0.000266463,3635,13641700,13641680
2,"Clarke County, Georgia",Georgia,5000,Central America,Central America,0.00033967800000000005,5015,14764000,14763980
3,"Clarke County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.0003683,1294,3513400,3513439
4,"Clarke County, Georgia",Georgia,1700,Eastern Asia,Eastern Asia,0.000398346,1665,4179800,4179779
5,"Clarke County, Georgia",Georgia,1100,Europe,Europe,0.000225868,1076,4763800,4763845
6,"Clarke County, Georgia",Georgia,6800,Latin America,Latin America,0.000304335,6775,22261600,22261633
7,"Clarke County, Georgia",Georgia,3700,Mexico,Mexico,0.00033074,3721,11250500,11250541
8,"Clarke County, Georgia",Georgia,1200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000414117,1247,3011200,3011229
9,"Clarke County, Georgia",Georgia,1200,South America,South America,0.00038364599999999997,1213,3161800,3161769
10,"Clarke County, Georgia",Georgia,12600,(All countries),all countries,0.00028738,12648,44011400,44011407
0,"Clayton County, Georgia",Georgia,5500,Africa,Africa,0.002456271,5543,2256700,2256673
1,"Clayton County, Georgia",Georgia,21500,Americas,Americas,0.000933314,21539,23078000,23077986
2,"Clayton County, Georgia",Georgia,10800,Asia,Asia,0.000791252,10794,13641700,13641680
3,"Clayton County, Georgia",Georgia,5400,Caribbean,Caribbean,0.001247727,5410,4335900,4335884
4,"Clayton County, Georgia",Georgia,15000,Central America,Central America,0.001018763,15041,14764000,14763980
5,"Clayton County, Georgia",Georgia,2800,"Central America, excluding Mexico","Central America, excl. Mexico",0.000796371,2798,3513400,3513439
6,"Clayton County, Georgia",Georgia,1100,Eastern Asia,Eastern Asia,0.000252166,1054,4179800,4179779
7,"Clayton County, Georgia",Georgia,1100,El Salvador,El Salvador,0.000808829,1117,1381000,1381008
8,"Clayton County, Georgia",Georgia,2600,Jamaica,Jamaica,0.0034799690000000003,2580,741400,741386
9,"Clayton County, Georgia",Georgia,21500,Latin America,Latin America,0.00096435,21468,22261600,22261633
10,"Clayton County, Georgia",Georgia,12200,Mexico,Mexico,0.0010882139999999999,12243,11250500,11250541
11,"Clayton County, Georgia",Georgia,2200,Nigeria,Nigeria,0.006257994,2192,350300,350272
12,"Clayton County, Georgia",Georgia,2200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000731595,2203,3011200,3011229
13,"Clayton County, Georgia",Georgia,1000,South America,South America,0.000321655,1017,3161800,3161769
14,"Clayton County, Georgia",Georgia,8900,South Eastern Asia,South Eastern Asia,0.002089157,8910,4264900,4264879
15,"Clayton County, Georgia",Georgia,5400,Sub-Saharan Africa,Sub-Saharan Africa,0.0028592559999999997,5415,1893800,1893849
16,"Clayton County, Georgia",Georgia,38300,(All countries),all countries,0.0008694110000000001,38264,44011400,44011407
17,"Clayton County, Georgia",Georgia,6900,Vietnam,Vietnam,0.0051346759999999995,6865,1337000,1336988
18,"Clayton County, Georgia",Georgia,4300,Western Africa,Western Africa,0.005155498,4331,840100,840074
0,"Cobb County, Georgia",Georgia,14300,Africa,Africa,0.006329672,14284,2256700,2256673
1,"Cobb County, Georgia",Georgia,61300,Americas,Americas,0.002657251,61324,23078000,23077986
2,"Cobb County, Georgia",Georgia,31200,Asia,Asia,0.002289381,31231,13641700,13641680
3,"Cobb County, Georgia",Georgia,4600,Brazil,Brazil,0.010681025,4630,433500,433479
4,"Cobb County, Georgia",Georgia,2200,Canada,Canada,0.002745601,2220,808600,808566
5,"Cobb County, Georgia",Georgia,10100,Caribbean,Caribbean,0.0023402379999999997,10147,4335900,4335884
6,"Cobb County, Georgia",Georgia,38500,Central America,Central America,0.002607292,38494,14764000,14763980
7,"Cobb County, Georgia",Georgia,11000,"Central America, excluding Mexico","Central America, excl. Mexico",0.0031171740000000003,10952,3513400,3513439
8,"Cobb County, Georgia",Georgia,4100,China,China,0.001490215,4135,2774800,2774768
9,"Cobb County, Georgia",Georgia,3200,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.001472904,3185,2162400,2162395
10,"Cobb County, Georgia",Georgia,3400,"China, excluding Taiwan","China, excl. Taiwan",0.001417071,3392,2393700,2393670
11,"Cobb County, Georgia",Georgia,1700,Colombia,Colombia,0.002269581,1728,761400,761374
12,"Cobb County, Georgia",Georgia,1100,Dominican Republic,Dominican Republic,0.001005235,1124,1118100,1118147
13,"Cobb County, Georgia",Georgia,3600,Eastern Africa,Eastern Africa,0.005327393000000001,3609,677400,677442
14,"Cobb County, Georgia",Georgia,8100,Eastern Asia,Eastern Asia,0.001926896,8054,4179800,4179779
15,"Cobb County, Georgia",Georgia,4100,Eastern Europe,Eastern Europe,0.001964208,4138,2106700,2106701
16,"Cobb County, Georgia",Georgia,3300,El Salvador,El Salvador,0.002359146,3258,1381000,1381008
17,"Cobb County, Georgia",Georgia,10800,Europe,Europe,0.002259309,10763,4763800,4763845
18,"Cobb County, Georgia",Georgia,1300,Germany,Germany,0.002401993,1346,560400,560368
19,"Cobb County, Georgia",Georgia,1100,Ghana,Ghana,0.00625042,1115,178400,178388
20,"Cobb County, Georgia",Georgia,3700,Guatemala,Guatemala,0.003744263,3666,979100,979098
21,"Cobb County, Georgia",Georgia,2300,Haiti,Haiti,0.0034683459999999998,2333,672700,672655
22,"Cobb County, Georgia",Georgia,2800,Honduras,Honduras,0.004364767,2842,651100,651123
23,"Cobb County, Georgia",Georgia,11600,India,India,0.0045282690000000006,11601,2561900,2561906
24,"Cobb County, Georgia",Georgia,1500,Iran,Iran,0.003895255,1489,382300,382260
25,"Cobb County, Georgia",Georgia,3900,Jamaica,Jamaica,0.005213209,3865,741400,741386
26,"Cobb County, Georgia",Georgia,2000,Kenya,Kenya,0.014391433,2040,141800,141751
27,"Cobb County, Georgia",Georgia,3000,Korea,Korea,0.002866076,2994,1044600,1044634
28,"Cobb County, Georgia",Georgia,59100,Latin America,Latin America,0.002653444,59070,22261600,22261633
29,"Cobb County, Georgia",Georgia,1900,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.001631965,1874,1148300,1148309
30,"Cobb County, Georgia",Georgia,27500,Mexico,Mexico,0.00244806,27542,11250500,11250541
31,"Cobb County, Georgia",Georgia,1100,Middle Africa,Middle Africa,0.00704001,1083,153800,153835
32,"Cobb County, Georgia",Georgia,5200,Nigeria,Nigeria,0.014791361999999999,5181,350300,350272
33,"Cobb County, Georgia",Georgia,2300,Northern America,Northern America,0.00276106,2254,816400,816353
34,"Cobb County, Georgia",Georgia,3100,Northern Europe,Northern Europe,0.0032323359999999997,3055,945100,945137
35,"Cobb County, Georgia",Georgia,9800,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.003243194,9766,3011200,3011229
36,"Cobb County, Georgia",Georgia,1200,Pakistan,Pakistan,0.0033180279999999998,1248,376100,376127
37,"Cobb County, Georgia",Georgia,1300,Philippines,the Philippines,0.0006492140000000001,1288,1983900,1983939
38,"Cobb County, Georgia",Georgia,1000,Russia,Russia,0.002658047,1041,391600,391641
39,"Cobb County, Georgia",Georgia,10400,South America,South America,0.00329847,10429,3161800,3161769
40,"Cobb County, Georgia",Georgia,15500,South Central Asia,South Central Asia,0.003860417,15520,4020300,4020291
41,"Cobb County, Georgia",Georgia,5500,South Eastern Asia,South Eastern Asia,0.00129101,5506,4264900,4264879
42,"Cobb County, Georgia",Georgia,13800,Sub-Saharan Africa,Sub-Saharan Africa,0.007268795,13766,1893800,1893849
43,"Cobb County, Georgia",Georgia,117800,(All countries),all countries,0.00267667,117804,44011400,44011407
44,"Cobb County, Georgia",Georgia,2500,United Kingdom,the United Kingdom,0.0035255620000000003,2463,698600,698612
45,"Cobb County, Georgia",Georgia,1100,Venezuela,Venezuela,0.0031739679999999997,1110,349700,349720
46,"Cobb County, Georgia",Georgia,2700,Vietnam,Vietnam,0.002044147,2733,1337000,1336988
47,"Cobb County, Georgia",Georgia,8000,Western Africa,Western Africa,0.009490831,7973,840100,840074
48,"Cobb County, Georgia",Georgia,2100,Western Asia,Western Asia,0.0018379529999999998,2072,1127300,1127341
49,"Cobb County, Georgia",Georgia,2700,Western Europe,Western Europe,0.002898361,2741,945700,945707
